Name,Qty,Price
MCLAZIDE MR 30MG TABLET,17,430
PIOSYS 30 MG,1,454
PPG MET 0.3/500 TAB ,5,67
TOPINATE CREAM ,1,477
AIR 120 TAB,1,200
P-COOL CREAM,1,270
BREVIPIL 100 MG,6,415
TFCT-NIB 5MG,10,57
ACE REVELOL 25/2.5MG TAB,2,360
VISTARAX 10 MG TABLET,3,326
DERINIDE 400 RESPICAPS,1,295
HYDROHEAL AM CREAM 50GM,2,187
STEEL BOTTAL BABY,1,35
GUTCLEAR SYRUP(200ML),2,440
NOSE CLEANER BABY,1,86
MMF TAB,15,199
DERMADEW SHOWER GEL*100ML,1,341
VORIFAST 200 TABLET,1,400
OLMEBLU-20 TAB,1,473
RIZANET 10 MG,3,113
FOLIFAST HAIR TINCTURE,1,400
COMBIHALE FB 200 INHALER,5,442
ISTAMET G IR 50/1000/2MG TAB,3,500
ROSUHENZ-F TABLET (DEL),1,329
ADIFF GEL 0.1% ,1,142
MAHACORT-DZ 6 MG TABLET STRIP OF 10 TABLET,1,220
FEBURIC 40 MG TAB,6,103
GOODOVA L 5 ,1,34
ESOMAC HP COMBO TABLET,1,49
HAIRZONE SOLUTION,1,221
CLARINA  FACE WASH GEL,1,328
FACE MASK 3 PLY WITH LOOP,197,251
NERVIJEN PLUS INJ.,3,117
GABAPIN NT 200 TAB,4,54
FOR-IC CAP,3,492
MAXIFLO 100 ROTACAP,2,325
XTOR 40MG TAB,3,49
HIORA- GA GEL,3,62
XYZAL UC CREAM 50G,1,434
SITAHENZ PM 500 TAB,3,378
POLYBION ACTIVE SYRUP 100ML,3,465
VITHOBA PASTE 80GM,1,118
FLORITE WIDE MOUTH FEEDER LARGE,1,364
GLIMIWIN-M1 TABLET,2,458
ZEDOCEF 200 TAB,2,178
COQ CAPSULE,4,267
FLUCIMOL-P SYP (ACECLO+PARACE),1,11
VOLIX ( M ) 0.2MG TABLET,5,62
VOLIX ( M ) 0.3MG TABLET,11,383
KZCLEAR 100ML BODYWASG,1,41
COGMENTIN 5 TAB,1,244
CHILLZYME 4G SYP,1,204
PIRFENEX 801MG TAB,2,159
COMBIHALE FF 250 INHALER,2,301
ROZAVEL F 5MG TAB,3,395
KETOMAC SHAMPOO,3,374
NO SCARS CREAM,1,55
ROZUSTAT 10MG TABLET STRIP OF 10 TABLET,4,41
ITRATOP 100MG CAP,1,259
ALTHROCIN 500MG TABLET,3,393
ALTHROCIN LIQUID 60 ML,1,402
MEDROGEST TABLET,1,129
BRIVANEXT 50 MG TABLET,4,56
SAFEDICLO CAPSULER 10,1,77
PROTINULES POWDER*CHOC,1,174
WIKORYL SUSPENSION 60 ML,2,443
WIKORYL (500+5+2MG) TABLET STRIP OF 10 TABLET,4,257
GLYCODIN EXPECTO. 100ML,1,252
VALDIFF M500 TABLET,2,37
WIKORYL DROPS 15 ML,3,145
CIBRIM T EYE DROP,1,475
NEVSOFT CLEANSING LOTION,1,468
EPHEDREX SYRUP 100ML,1,466
TICAPLAT 90 MG TABLET,4,263
RIZANET 5MG,3,447
CLINGEN 7 VAGINAL SUPP,1,208
JUSTOZA M 5/500 TAB ,3,250
DAPAGAIN 10MG,8,427
ROXID 150MG TABLET,4,301
AYUR SUNSCREN 100 ML,2,103
ARTHRODOL TAB ,1,179
MUTOP OINTMENT 8GM,1,100
LCD 125 TABLET,7,392
SPORIDEX-CV 750 TAB,4,143
FASH-OS GEL,2,480
ZEET EXPECTORANT,2,359
MMS-1 POWDER 200GM,1,114
MMS-1 POWDER 400GM,1,31
GABAPIN PLUS 300MG TAB,2,368
NOVORAPID PENFILL 3ML,5,483
BECOZINC CAPSULES STRIP OF 20 CAPSULES,4,159
OPEN PALELLA KNEE CAP ALL,3,380
NASOLINE NASAL SPARY,1,207
CANOZOLE TV SHAMPOO,2,309
ACLOMET-XL 25,4,303
BROZEET 100 ML SYRUP,1,49
AGROSAFE ONIAN SHAMPOO,19,173
AZITHRAL 250MG TAB.,1,369
MAGADOL TABLET,2,212
ENSULES PLUS CAP,2,452
RIVOLAS 10 TABLET,3,322
ACTOID 10MG,1,433
ADVENT 457MG TAB,1,29
ALPHADOL-0.25 CAP,1,373
HEMTREE-H TAB,2,81
RABEE 20MG TAB,1,226
DOLOXICAM DT,1,177
NEUROVIN TABLET,1,212
MUCOLITE 30 MG TAB STRIP OF 10 TAB,1,253
MUCOLITE DROP 15 ML,5,160
MUCOLITE SYRUP 100 ML,3,29
GLASS BOTTAL BABY,1,77
SOLICEPT TAB,1,464
ANTOXID CAPSULES,1,497
HUMINSULIN 30/70 CART 100IU,17,40
LOBETRON-0.5 TAB,8,346
BRUTAFLAM MR 4 MG TAB,1,65
I-KUL EYE DROPS,9,334
ROSYCAP F TABLET,3,350
HISTAFREE SYRUP,1,341
HALDIRAM ALL,150,336
VANISH LIQUID 400 ML,1,84
COSVATE LOTION,1,427
THYRONORM 37.5 MG,4,47
BETALOC 50MG TABLET,3,367
BOROPLUS BODY LOTION 300ML,8,340
PREGALIN D 50/20 CAP,3,274
ABSOLUTE GOLD CAP,2,179
CYSTOLIB NUTRA TAB,1,170
T2C-10MG TAB,1,351
BENEFICIAL SYRUP 200ML,1,149
RELUX LIQUID 100ML,1,47
FREEDASE 30MG,1,66
MINOTRESS 5% LOTION,1,317
SGLTD TRION 1000MG TABS,2,270
TOPIROL 25 MG TABS,1,397
Q4LIC PLUS TABLET,1,255
NUROKIND FORTE Z TAB ,4,306
IMDUR 60MG TABLET,2,76
DIAPAL TABLET,2,416
SEPTRAN DS TABLET,2,166
JALRA-OD 100MG TAB,8,446
GABAMIT NT TABLET,1,349
PHENSEDYL DX SYP,3,71
ALDOSMIN 1000MG TAB,2,414
VENTAB DXT 100MG TAB,3,382
AMBRODYN-T SYP,4,189
XYLOCAINE 2% INJECTION,2,234
OXRA-L,26,341
GLIMY-M 1 TABLET,16,15
COMBIMIST L RESPICAPS ,4,426
XYLOCAINE 2% JELLY,5,150
TRI AZULIX DS 1 TABLET,5,329
BRIVGARD 50 MG TAB,2,229
ENAFIX TOOTH PASTE 70G,1,450
DAPANORM M 10 FORTE TAB,3,101
BANOCIDE FORTE TABLET,1,326
BANOCIDE 50MG TABLET,1,357
DROLGAN TAB,1,43
CALPOL 500MG TAB.,19,160
CALPOL 120MG SYRUP,12,226
JUSTIN SUPPOS.**12.5MG,1,431
CLOPINASE-75 TAB,19,41
LANOXIN TABLET,18,94
NEOSPORIN POWDER,3,188
AGROCORT INJECTION,11,74
CEFTROPIC-50 SYP,7,99
SEPTRAN SYRUP 50ML <S>,1,254
MECOFOL,3,116
GILLETTE RAZER ALL,16,454
ZYLORIC TABLET,10,363
ZOVIRAX TAB. (200MG),3,225
AMBULAX M TABLET,2,275
OXIPOD 100MG SYRUP,1,136
PEGABANYL-NT,9,152
TRICHOTON SYRUP,1,89
BRIO EYE DROP,1,314
ZPAM-MD 0.25 MG ,2,420
CARNOSET SYP,1,132
VYSOV XR 100 TAB,1,438
EXCELA MOISTURISER ,2,87
NEPASTAR OD EYE DROP 3ML,2,467
ARISTOZYME LIQUID 200 ML,2,105
CETAPHIL SUN SPF 30  GEL,1,17
POWER PLUS SACHET ,73,33
FLEXON TAB STRIP OF 15 TAB,2,95
FLEXON SYRUP (262.5MG) 100 ML,3,309
MEGAPEN CAPSULES 500MG,1,296
RYALTRIS AZ NASAL SPRAY,1,168
EYETAMIN GOLD CAPSULE,1,248
MOMESONE CREAM 40 GM XL,1,98
MIKACIN INJECTION 250MG,2,128
MIKACIN INJECTION 500MG,11,486
AIRFRESHNER ALL,1,72
EUREPA V 1/0.2MG TAB,1,223
MONOCEF INJECTION 1GM,4,95
MONOCEF INJECTION 250MG,1,452
LULIMAC XL CREAM 30GM,1,310
ALKEPIN ODT 50 MG,1,230
GLYCIGON TABLET,3,460
SITAXA 50 MG TAB,5,136
DAPARYL-M 10/1000MG,6,222
TELMED AH 40 MG ,15,220
VALENTAS 100 MG TABLET,1,182
HIFENAC MAX TAB,1,275
SOFTERON CAP STRIP OF 15 CAP,2,124
TOBACIN EYE DROPS,1,311
LINAHENZ 5 TAB,4,437
AMPANEL 4MG TAB,6,444
BAYERS TONIC,1,473
CANESTEN CR.,3,344
ETIZOLA BETA 0.50 TAB,1,365
LIVEASY HOT WATER BAG,9,375
IMXIA PLUS SHAMPOO,2,262
SEMENTO TABLET,1,283
SGLTR M 500 MG TAB,1,300
ACNEDAP GEL,1,151
LIPIROSE-GOLD 10MG CAPSULE,1,92
ADVENT 228.5MG 60ML SYRUP,1,167
VOGLITOR R 1/0.3 MG TAB,6,89
HERMIN FORTE CAP,1,368
CETAPHIL GENTLE FOAMING CLEANSER 236 ML,1,197
ALSITA GM 2 FORTE TAB,3,278
NEBI T MG TAB STRIP OF 10 TAB,6,48
AZUSA T 16/40 TABLET,2,453
VASICON EYE DROP,1,60
TELZOX 40 MG TAB,1,459
LULIDERM LOTION,2,227
INSTARAFT SYRUP,2,332
CINZAN 75 DT TABLET,1,275
KHARI BUTTER,22,273
ALTHROCIN DROPS,3,201
ITASPOR SB FORTE CAP,1,191
PHYTORAL POWDER,1,40
HEXILAK GEL 10GM,1,179
MEPRIMET-MV1 TABLET,17,90
LOOZ SYRUP 200 ML,2,442
RAZOLIN D CAP,7,494
DAWCIN-25 CAPSULES,1,319
NEURONOMIC TABLET,1,199
VYLDA-M 850 MG ,1,199
DVN FORTE TAB,1,216
PANTENE CONDITONER ALL,1,492
FLOXIWIN EAR DROPS ,1,369
BIFENAC SP TAB,2,149
HELL DRINK,11,416
VOGLEE 0.3 MG,3,360
OTEK AF EAR DROP 10ML,1,286
HEPAKIND-150 MG TAB,1,405
LINAXA M XR 5/500 TAB,1,428
TRIMOP TABLET,1,316
ROWASA 500MG SACHETS,75,82
ENCELIN OD 100 TABLET,1,59
FERTYL TABLET,2,452
CALCIBEL TABLET,3,357
TELMA ACT 40/5/12.5 MG ,8,94
PAROFIN-IV INJECTION,5,114
CEFTROPIC-100 SYP,1,441
RELENT COLD SYRUP,2,431
GLUTESSA 30GM CREAM,1,25
BRUFEN 200MG TABLET,1,130
BRUFEN 400MG TABLET,2,347
BRUFEN 600MG TABLET,1,263
TIGATEL AM 40 TAB,2,63
NEPALACT OD EYE DROP,1,21
SETOLAC-MR TAB,1,35
CREMAFFIN SYRUP 225 ML MINT FLAVOUR,3,54
CREMAFFIN PLUS SYRUP 225 ML,7,406
EPTOIN TABLET.<100MG>,4,387
EPTOIN-50MG.TABLET,1,92
EPTOIN SUSPENSION,1,46
VIZYLAC GG DROPS,1,135
TOFASHINE 5MG TAB,1,26
ESAVA CREAM ,1,227
PROTHIADEN TAB. (25MG),6,222
PROTHIADEN TAB. (75MG),6,371
AMYDIO FORTE SYRUP 100ML,3,329
9 M FOL D 10CAP,1,326
CLEARZIT FASH WASH,1,208
BURNOL TUBE-20GM,3,160
BURNOL TUBE-10GM,2,314
DIGENE GEL <ORANGE>,1,186
DIGENE TABLET <MINT>,9,260
DIGENE TABLET <ORANGE>,1,432
DIGENE TABLET <MIX FRUIT>,3,475
TOPIROL 50 MG TABLET,1,152
TINILOX MPS TABLET,1,390
AMBULAX FM TABLET,1,238
XYGREL 90MG,2,22
CALAPTIN 120 SR TABLET,7,419
CALAPTIN 40MG TABLET,10,188
TELMA AZ TAB,1,235
EXSORA OINTMENT,1,48
PARAXIN 250MG CAPSULES,1,305
ISMO 10MG TABLET,4,210
ISMO 20MG TABLET,3,219
LUX SOAP ALL,68,217
METOCARD T 50 TAB,1,71
BREVIPIL 50MG TAB,4,307
VOMIKIND MD 2 MG ,2,40
SOTRET NF 8 MG ,2,90
FUNGICROS CREAM 10 GM,1,98
SEBAMED BABY SHAMPOO 50 ML,1,460
ALKAPAC SYRUP 100ML,1,394
MACSART CL,4,78
AMLODAC TAB.   (5MG),7,400
PENVIR 500MG,1,403
ARGIRICH GRANULES,7,170
NUZORB TAB,2,352
NERVILIFT-NT TAB,1,240
NICOTEX MINT 4MG TIN,14,339
XGLAR REFFIL INJ,1,150
MAHACORT-DZ SUSPENSION,1,318
SOFTEE PLUS SYRUP,1,32
DICLOBENZ 30G GEL,1,415
NINTENA 100 TAB,1,478
NVTAB -OD TABLET,1,74
NURODAY 1500MCG INJ,6,439
PLANOKUF-D SYRUP <100ML>,3,419
GILLETTE SAVING CREAM ALL,8,187
HYPONAT-O 15MG TABLET,1,175
HIMALAYA SHAMPOO ALL,8,312
TINIBA 300MG TABLET,2,204
TINIBA 500MG TABLET,1,294
CORECT-O TAB,1,72
BTN-ULTRA TABLET 30,1,421
DROLUTE TABLET,1,77
LULIBOR ADVANCE LOTION 30ML,2,179
PULMOSMART 400 INHALER,1,300
KERENDIA 20 TAB,3,385
TERBINAZOLE 500 MG TAB,5,497
ROSUR 20MG TAB,3,377
UDAPA GOLD 1 TAB,3,134
CHERICOF LS JR SYRUP,2,381
CORBIS 1.25MG TBALET,3,387
BABY MASK ,1,160
MIRBEG S 50 MG TAB,4,382
AXALIN EXPECTORANT SYRUP,1,116
UROTONE DS TABLET,2,214
TRAMAZAC CAPSULES,1,189
GLURA M XR FORTE TAB,2,160
UBINEXT LC TAB ,1,486
ONDERO D 5 TAB,4,293
OXALGIN DP TABLET,1,260
OXRAMET IR 5/1000 TAB,3,345
CTD-MT 12.5/25/40,3,298
ZADY 200MG READYMIX SYRUP,1,105
OCID 20MG CAPSULES,1,225
VERTISTAR MD 24 MG TAB,1,175
ACILOC 150MG TABLET,10,54
ACILOC 300MG TABLET,4,85
HERFIL TABLET,2,384
SITAHENZ 100MG TABLET,2,62
PALMITO FORTE TABLET,5,25
SUGAFLO V 10 TAB,3,269
CALCIROL GRANULES,10,347
PAROFIN D TAB,10,498
GEMER SITA IR 50/500/1MG TAB,2,477
CETZINE DROPS,2,270
ENVAS 5MG TABLET,8,415
ENVAS 2.5MG TABLET,2,281
FLUDAC CAP. (20MG),2,319
ONMEFTA-P SYRUP,2,439
MYCEPT-500MG TABLET,1,195
FORMIN PG 1 MG TAB,1,75
REZ Q 300 MG TAB,1,416
AXEPINE MD 10 MG ,4,483
MIVINTA PRO POWDFER 200GM,1,248
TRAVOSUN EYE DROP,4,261
LUPINAC TAB,3,62
CNSERT 50,3,38
MFSUDIF CREAM 10G,1,195
RISDONE MT 1MG,1,231
NAPHTHALENE BALL,6,472
AER FRESHNER SPRAY ALL,22,293
FUSIWAL CREAM 15GM,2,264
ICE CREAM 250,14,153
DOLONEX INJ 2 ML,1,376
ALSITA M100 TAB,5,498
BILERT 20 MG TAB,2,83
TRICORT 40MG INJECTION,3,324
ORALIFE GARGE 200ML,1,198
OXRAMET-G 5/1/500 TAB,1,384
HADENSA OINTMENT  40GM<B>,2,62
JECTOCOS LIPO TABLET,7,52
LICHENSA OINTMENT 20GM<S>,1,17
HADENSA OINTMENT  20GM<S>,1,287
LICHENSA OINTMENT 40GM<B>,1,45
MACPOD 50 DT TABLET,1,197
AMICLINE PLUS TABLET,1,211
ZIORAL DROPS,1,150
DEXORANGE  CAPSULES,10,240
HYSIGHT DROPS ,1,150
EVACUOL GRANULES,1,208
KRACK HEAL REPAIR CREAM,14,222
GLYCIPHAGE TABLET,41,242
DESKAST TABLET,1,28
DOVAS CAPSULE,1,25
XALIDERM SOLUTION 50ML,1,432
PRESTERO DEPOT 250MG INJ,1,479
MELANOCYL OINTMENT,1,317
RELAXYL OINTMENT,1,224
SURFAZ CREAM,2,321
SORBILINE SYRUP 100ML <S>,1,442
SORBILINE SYRUP 200ML <B>,1,145
STIMULIV SYRUP 100ML <S>,1,359
STIMULIV SYRUP 200ML <B>,2,225
MACUSAFF VEG CAP,2,470
SURFAZ-SN CREAM,2,94
KOFOL LOZENGES,6,235
GRILINCTUS-BM PAED. SY.,1,160
NETALO EYE DROP,2,296
AZUSA T 8/40 MG ,2,314
BETHADOXIN-12 SYRUP,1,123
GTX CAP,7,349
NERVZ CAPSUL,1,78
CONSIVAS 10MG ,1,318
ACEFLAM P TAB,1,223
COSCOPIN LINCTUS,2,238
RESPICURE P DS SUSPENSION,1,87
CARINIA 1.5 MG TAB,3,22
LACTISYN 1GM SACHET,1,351
SITANORM-M 50/500 MG TAB,1,462
HALEEZY SYRUP,1,192
DEBRIFEE CREAM 15G,1,269
DAPLO 10 MG TAB,1,24
AZIDERM-15% GEL,1,250
VILPOWER OD-100MG,1,23
OROFER- FCM INJECTION - 1 GM ,1,137
HISTABIL 20 TAB,1,296
RAJGIRA CHIKKI ALL,6,352
INDERAL 10MG TABLET,4,265
ISOPROT-SF PROTEIN POWDER,11,18
HYDRILLA AD MOIST LOTION,1,95
TETMOSOL SOAP,3,275
TENORMIN 25MG TABLET,3,272
BRIV 50 MG TABLET,3,483
WATER 5LIT,6,81
ZOSERT-50MG TAB,1,98
HG FIVE HAIR OIL 100ML,1,181
SIMILAC PLUS 1 NO. POWDER 400GM,3,251
CLOFERT MAX KIT TABLET,1,292
AZEVONE FORTE K2 TAB,1,44
AGRO-D3 DROP,1,299
ANKLET ALL,1,486
OXALGIN NANO GEL 30GM,1,72
FLEMICLAV 375MG TAB,1,180
ROSUMAC CV 10 TAB,2,136
BENZONIX XL,1,38
MOISTUREX-HYDRA GEL CREAM,2,419
EVION 200 CAPSULES,4,481
EVION 600 CAPSULES,2,402
EVION 400 CAPSULES,23,52
SYLATE T 500 MG ,1,437
ROLMIZAC D CAP,1,124
GAS O FAST JEERA SACHET,8,164
AMLOKIND BETA 25 MG TABLET,5,131
NEUROBION FORTE INJ.,8,181
DERMADEW BABY SOAP 125GM,2,343
ICE CREAM 35,686,280
COMBIFLAM TABLET,66,214
GYNOCARE SYP 200ML,1,11
CLARIGARD 250 SYRUP,1,111
ALFUSIN T 5 TAB,1,447
SOFRAMYCIN SKIN CR. 30G*S,14,174
SOFRAMYCIN SKIN CR.100G*B,2,396
VOGLIBOZ-0.2 TAB,2,424
OMNICEF-O 50MG SYP,1,296
EPLEBLESS-25 TAB,2,399
GUFITRIG 5000IU HP INJ,2,206
IVREA LOTION 30ML,1,469
AMITRYN 10MG TABLET,2,334
AMITRYN 25MG TABLET,1,476
AMITRYN-C TABLET,1,29
VILDAPRIDE OD 100MG TAB,4,470
OLSAR-AH TAB,1,43
COBIX-200MG CAP,2,134
Q-GOLD M CAP,1,488
LEVOLIN PLUS JR SYRUP,6,176
VILPOWER-D 100/10MG,3,52
AZITHRAL XL 200 MG SYRUP 60ML,1,30
DAPABITE-M 10/500 TAB,5,452
ETOWIN PG TAB,2,334
RIVOLAS 2.5MG TAB,3,328
CLINDAC A MIST SPRAY,2,491
NIOFINE DUSTING POWDER,1,302
EGLUCENT KWIKPEN,1,387
LUBRIJOINT ACTIV TABLET,1,169
ERA-HB TAB,1,141
METACIN TABLET,1,270
ZAVA OD 100MG TAB,11,131
HEPATOGARD LIQ.200ML <B>,1,408
VALERA M 500 MG ,1,247
MAXEPA CAP = PACK OF 30,1,112
OLANEX 2.5 TAB ,1,78
LULIFORD LOTION 15ML,2,330
E-COD CAPSULES,1,469
ROVOR 10MG,7,204
ROSUBEST 20 TAB,5,181
AVIL 25MG TABLET,1,476
LMF-9 TAB,2,131
AVIL INJECTION 2ML <AMP>,1,428
GINKOCER FORTE TABLET,1,333
FREY-NEBI AM TAB.,2,233
FOLLY CATHETER NO.12,2,218
LIDOCAM MOUTH WASH,1,183
DAONIL TABLET,1,299
TAKFA FORTE ONIT 20 GM,1,480
LASILACTONE-50 TABLET,38,370
LASIX TABLET,41,126
GLIMISON M 2 TABLET,2,257
MOKTEL DROPS,1,300
ZAYO 200MG,3,89
GABANEURON NT 400 TAB,1,249
HIMALAYA BABY SOAP ALL,2,133
PRECOX PG CAP,3,190
MIRAGO S 25MG,1,275
ZATHRIN-XL 100MG SYRUP,1,83
CARDACE 1.25MG TABLET,3,471
CARDACE  2.5MG TABLET,17,236
CARDACE 5MG TABLET,7,159
QUETIDIN-25 TAB,3,160
MINTOP FORTE 5% SOLUTION,1,469
WALAPHAGE 500MG TABLET,2,435
LONITAB-5MG TAB,5,94
FLUCOLD TABLET,3,207
FLUCOLD SUSPENSION,1,278
SYNX 500 TAB,1,170
CNPAXET PLUS 25 TAB,2,266
COLIMEX DROPS,2,168
COLIMEX TABLET,2,342
MEGA CV 228.5 30 ML SYR,2,272
SUMO L 250 DS SYR,2,109
LYNX 500 MG CAP,1,87
MIGON TAB,1,461
GRAVOL TABLET,1,21
VIGANEXT SACHET,11,191
GARNIER COLOUR ALL,94,236
ROSURICA AS 20MG TAB,2,474
LINERO 10MG TAB,10,27
NIMUCET GOLD TAB,22,416
SOFTOLAX LIQUIFIBRE ,1,195
SENSIVAL 25MG TABLET,3,168
WALAMYCIN SUSP. 30ML <S>,1,142
JUSTOZA 10MG TAB,6,319
ZAVA TABLET,4,469
ZONALTA TABLET,1,34
METROGYL O TABLET,3,70
FOLCURE 5D TABLET,2,386
SALLAKI-400MG TABLET,3,162
SALLAKI-PLUS  TABLET,1,108
NADIFA M2 7.5GM,2,15
NEOSPORIN-H OINTMENT,1,246
LUPIDINE SOLUTION 100ML,1,287
SPORLAC PLUS SACHET,8,415
AMBRODIL-LS SYRUP,2,366
MYSORE SANDAL AGARBATHI ,6,328
FOSHUKA GOLD TAB,2,461
MOX 125 KID TABLET 15S,1,182
MOX 250 KID TABLET 15S,2,314
MOX 250MG CAP.15S,1,396
MOX-125 DRY SYRUP 30ML<S>,1,492
MOX 500MG CAP. 3S,3,55
MOX 500MG CAP.15S,1,454
MOX-125 DRY SYRUP 60ML<B>,2,397
DACMOL MR TABLET,5,218
MYOLAXIN D GEL 30G,4,106
CITSAFE 10 MG,2,170
BRITZILAM 100MG,5,424
PREGEB D 75/30 CAP,1,467
TORIB-MR 4MG,1,213
RIDOL TABLET,1,270
ATORVA GOLD 20 CAP ,1,423
STATPURE GOLD 20 CAP,3,437
CINTHOL SOAP ALL,10,388
MOTINORM SYRUP,1,14
REMOZEN MV 500 TAB,2,272
MOXIFUR LP DROPS,1,93
RPBEST-D CAP,2,470
VALDIFF-D 100/10 MG TAB,7,376
ZOLE   OINT. 15GM,1,471
SIGNOFLAM.TH 8 MG TAB,1,233
ZOLE-F OINT. 15MG <BIG>,2,368
EUTHYROID 25 MG TAB,2,499
FORGLYN PLUS RESPICAPS,3,468
ODPEP D CAP,3,34
LULILOK CREAM 30GM,4,290
PROTIEN BAR,37,53
HYPERNEB 3% RESPULES,50,488
NADIFA CREAM,1,183
DYDROSURE TAB,1,288
JUSTOZA GM 2 FORTE TAB,2,246
HERPIVAL-500 MG TAB,1,101
VILDAPRIDE-D 100/10 MG TAB,1,295
CRETA-100 MG TAB,1,277
DYDROFEM-SR 20 MG TAB,1,89
KYU-25MG TAB,3,499
FEBRINIL INJ. 3ML,2,180
GRANDEM-1 MG TAB,1,238
NATUROGEST INJ.<100MG/ 1ML,2,185
MIRBEG-50MG TABLET,2,431
DAPAMAC M 10/500MG,1,425
VILDAMIT M TAB,6,64
OCUVIR EYE OINT,1,129
ZILDA-M 850 TAB,2,355
LULIBET LOTION 50 ML,2,122
BISOBIS H 5 MG TAB,2,255
FLANCOBAL TAB.,3,230
GLYCHEK-OD 60 TAB ,1,226
SITALEMBIC 100 MG TAB,3,227
FEPANIL 125MG SUSPENSION,1,35
CNZEP 0.50 MG  (DEL),1,435
DUONEM CV TAB,1,267
EMCOR CREAM 15GM,1,376
BURNS CREAM 20 GM ,6,292
ARACHITOL 6LACS INJ.,9,282
COLOSPA-135 TABLET,1,49
BENZ PEARLS CAP,1,160
SOVE 10 MG ,1,439
DUPHALAC SYRUP 200ML <M>,2,283
DUVADILAN TABLET <10MG>,2,120
DUVADILAN RETARD CAP.40MG,2,326
EMAXGALIN TAB,2,456
DUVADILAN INJECTION <2ML>,6,320
KARVOL PLUS CAP. 10S,4,84
TROYCOBAL NT TAB,1,399
SUNSHOT SPF 50 GEL,1,12
ITASPOR ORAL SOLUTION,1,254
PILEX FORTE TABLET,2,500
B-29 MAX CAP,3,278
PANKREOFLAT TABLET,3,318
PROLOMET T 25 TAB,6,31
ALPROVIT ACTIVE CHOC.POW 200GM,1,151
BEARDO DEO ALL,1,176
NIMULID TABLET,1,129
MAHAFLOX EYE DROPS,1,90
SOFY ALL,44,288
CZ-3 SYP SYP,1,139
JOYSTIFF 200,3,437
FITJOINT MAX CAPSULE,1,289
EUTHYROX 88 MG TAB BOTTLE,1,201
TRESSOTIN-5 MG TAB,3,148
GLARITUS 100 IU VIAL 10ML INJ,1,469
D-ASIAN 60K NANO SHOT ,36,324
ROSULIP ASP 75 TAB,1,424
NERVISAVE TAB,2,271
SYMBAL 40MG TABLETS,3,174
BUNASE 0.5 RESPULES ,1,263
AZNETEN M TABLET,1,468
PRUCROS TABLET,1,77
REFFRON TAB,3,122
EMIKIND MD TAB,4,186
MACGEST 200 TAB,1,372
EMANZEN 5MG TABLET,1,468
EMANZEN FORTE TAB.<10MG>,3,175
GARDENAL 30MG 100 TAB,4,426
GARDENAL 60MG 100 TAB,1,59
ESAVASONE LOTION ,2,491
XYLOCAINE VISCOUS SOLUTION 200ML,2,310
PBREN-D 50/20 MG TAB,3,50
ZODERM E CREAM 50GM,1,293
TICASPAN TAB,14,164
I-DEW DS AQUAGEL DROP,1,443
ACIVIR CREAM <5GM>,2,466
ACIVIR DT TAB. (200MG),1,88
AEROCORT INHALER,2,192
AEROCORT ROTACAPS,4,338
ALERID TABLET,1,119
ALERID SYRUP,2,266
AMLOPRES 5MG TABLET,1,252
AMLOPRES AT TABLET,3,75
ASTHALIN 2MG TABLET,1,430
ASTHALIN 4MG TABLET,4,25
ASTHALIN EXPECTORANT,3,75
ASTHALIN SYRUP,2,132
ASTHALIN INHALER,8,268
ASTHALIN ROTACAPS,25,132
ASTHALIN RESPULES,14,482
ASTHALIN RESP SOLUTION,81,468
MUKUF SYRUP,1,193
APRIGLIM MV 303 MG ,2,317
FLOVAS 15 TAB,1,350
TROMIDE PLUS EYE DROPS,1,161
TRAVOSUN-T EYE DROPS,1,140
CIPLACTIN TABLET,4,177
CIPLACTIN SYRUP,1,303
CIPLAR 10MG TABLET,12,154
CIPLAR 40MG TABLET,5,172
BRESOL SYRUP 200 ML,1,420
CALPOL PAED.DROPS,4,146
CIPLOX E/E DROPS,6,427
SUNCROS 50 SPF AQUA LOTION 60ML,1,266
BUNASE L 0.5 RESPULES,2,478
MAXVIDA POWDER VANILLA 400GM,1,75
STIMUCOR 2.5MG TAB ,2,67
DANOGEN 100MG CAPSULES,1,200
ROSYHEAL TAB BOTTLE,1,117
PIOGOOD G1 TAB,5,30
HERAFT SUGAR FREE SYP,1,296
EMESET 4 TABLET,1,102
EMESET 8 TABLET,1,458
EMESET INJ. <2ML>,14,296
EMESET INJ. <4ML>,7,230
ALDOSMIN 500 TAB,3,344
DEPAXIL CR PLUS 12.5 MG,6,355
ITRABACT L LOTION,1,119
FORCAN 150MG CAPSULES,1,35
CILNIBLU T TABLET,2,286
HIPRES 50MG TABLET,4,56
ZURIG 40 MG ,2,178
SOFTERON GOLD SYP,1,49
IBUGESIC PLUS 60ML SYP,5,216
AER FRESHNER SPRAY,21,448
NIKOS 10 MG TAB BOTTLE,2,186
BISOFIG 5 MG TAB,2,55
ATOREC CV 20MG TAB,2,225
ISTAMET G-IR 50/500/1 TAB,2,435
IPRAVENT RESP SOLUTION,1,149
MEBEX TABLET 6S,2,189
WINOLAP MAX EYE DROP,1,366
MICOGEL CREAM,1,156
AMLONG TRIO TABLET,1,308
CLAVIX GOLD-40MG,1,317
TORGLIP M 50/1000MG,2,167
REXIPRA LITE TAB,3,177
NORFLOX 200MG TABLET,3,247
NORFLOX 400MG TABLET,6,296
NORFLOX TZ TABLET,2,317
TAMLOCEPT 0.4 CAP,3,341
NORFLOX E/E DROPS,1,119
